route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Ahmedabad-Mumbai,2025-01-20,3.29,+29.5% vs this route's past average,+22.5% vs similar-length routes this week,No (justified),N002,"On the week of 2025‑01‑20, note N002 reports that a regional festival week caused transporters to apply a temporary surcharge on the Ahmedabad‑Mumbai corridor because of high demand and limited truck availability."
Chennai-Bangalore,2025-02-24,3.58,+31.5% vs this route's past average,+38.7% vs similar-length routes this week,No (justified),N001,"According to note N001 dated 2025‑02‑24, heavy flooding on the Chennai‑Bangalore highway disrupted normal truck movement from Feb 24 to Mar 8, forcing longer detours and higher trip costs, which caused the freight cost spike."
Chennai-Bangalore,2025-03-03,3.48,+22.8% vs this route's past average,+32.0% vs similar-length routes this week,No (justified),N001,"According to note N001 dated 2025‑03‑03, heavy flooding on the Chennai‑Bangalore highway from Feb 24 to Mar 8 disrupted normal truck movement, forcing longer detours and higher trip costs, which pushed the freight cost to 3.48 INR per tonne‑km—a 22.8% rise over this route’s past average and 32.0% above similar‑length routes this week."
Chennai-Bangalore,2025-03-10,3.57,+22.1% vs this route's past average,+33.8% vs similar-length routes this week,Yes,,"The closest note (N001) does not justify this cost rise (it either does not apply to Chennai-Bangalore, does not cover week 2025-03-10, or does not describe a cost increase). No validated explanation found; flagged for human review."
Chennai-Bangalore,2025-03-17,3.47,+13.7% vs this route's past average,+33.5% vs similar-length routes this week,Yes,,"The closest note (N001) does not justify this cost rise (it either does not apply to Chennai-Bangalore, does not cover week 2025-03-17, or does not describe a cost increase). No validated explanation found; flagged for human review."
Delhi-Jaipur,2024-11-11,4.17,+35.5% vs this route's past average,+21.0% vs similar-length routes this week,Yes,,"The closest note (N003) does not justify this cost rise (it either does not apply to Delhi-Jaipur, does not cover week 2024-11-11, or does not describe a cost increase). No validated explanation found; flagged for human review."
Delhi-Jaipur,2024-11-18,4.09,+27.6% vs this route's past average,+19.7% vs similar-length routes this week,Yes,,"The closest note (N003) does not justify this cost rise (it either does not apply to Delhi-Jaipur, does not cover week 2024-11-18, or does not describe a cost increase). No validated explanation found; flagged for human review."
Mumbai-Pune,2025-06-23,3.76,+6.2% vs this route's past average,+20.6% vs similar-length routes this week,No (justified),N003,"According to note N003 dated 2025‑06‑23, diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5‑7%, which contributed to the Mumbai‑Pune freight cost of 3.76 INR per tonne‑km being 6.2% above its past average and 20.6% higher than similar‑length peer routes this week."
Mumbai-Pune,2025-09-15,3.98,+9.2% vs this route's past average,+23.6% vs similar-length routes this week,No (justified),N003,"Note N003 dated 2025‑09‑15 reports that diesel prices rose nationwide this week, pushing up transportation costs across all routes by roughly 5‑7%."
Mumbai-Pune,2025-10-06,3.94,+5.4% vs this route's past average,+22.9% vs similar-length routes this week,No (justified),N003,"According to note N003 dated 2025‑10‑06, diesel prices rose nationwide this week, pushing up transportation costs across all routes by roughly 5‑7%."
Mumbai-Pune,2025-10-20,4.1,+7.7% vs this route's past average,+24.8% vs similar-length routes this week,No (justified),N003,"According to note N003 dated 2025-10-20, diesel prices rose nationwide starting that week, pushing up transportation costs across all routes by roughly 5‑7%."
Mumbai-Pune,2025-10-27,4.07,+5.5% vs this route's past average,+28.3% vs similar-length routes this week,No (justified),N003,"According to note N003 (week of 2025‑10‑27), diesel prices rose nationwide starting that week, pushing transportation costs up across all routes by roughly 5‑7%, which helped drive the Mumbai‑Pune freight cost to 4.07 INR per tonne‑km—about 5.5% above this route’s past average and 28.3% higher than similar‑length peer routes."
Mumbai-Pune,2025-11-03,4.2,+7.4% vs this route's past average,+24.1% vs similar-length routes this week,No (justified),N003,"According to note N003 dated 2025‑11‑03, diesel prices rose nationwide this week, pushing up transportation costs across all routes by roughly 5‑7%."
Mumbai-Pune,2025-11-10,3.97,-0.1% vs this route's past average,+21.4% vs similar-length routes this week,No (justified),N003,"Note N003 (2025‑11‑10) reported that diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5‑7%."
Mumbai-Pune,2025-11-17,4.32,+8.9% vs this route's past average,+31.6% vs similar-length routes this week,No (justified),N003,"According to note N003 dated 2025‑11‑17, diesel prices rose nationwide this week, pushing up transportation costs on the Mumbai‑Pune route to 4.32 INR per tonne‑km."
Mumbai-Pune,2025-11-24,4.16,+3.0% vs this route's past average,+23.0% vs similar-length routes this week,No (justified),N003,"According to note N003 dated 2025‑11‑24, diesel prices rose nationwide starting that week, pushing up transportation costs on the Mumbai‑Pune route."
Mumbai-Pune,2025-12-01,4.39,+7.7% vs this route's past average,+37.4% vs similar-length routes this week,No (justified),N003,"According to note N003 dated 2025-12-01, diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5‑7%."
Mumbai-Pune,2025-12-08,4.43,+7.2% vs this route's past average,+38.8% vs similar-length routes this week,No (justified),N003,"According to note N003 dated 2025-12-08, diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5‑7%."
Mumbai-Pune,2025-12-15,4.39,+4.4% vs this route's past average,+35.5% vs similar-length routes this week,No (justified),N003,"According to note N003 dated 2025-12-15, diesel prices rose nationwide this week, pushing up transportation costs across all routes by roughly 5‑7%."
Mumbai-Pune,2025-12-22,4.49,+5.7% vs this route's past average,+38.9% vs similar-length routes this week,No (justified),N003,"In the week of 2025‑12‑22, the Mumbai‑Pune freight cost rose to 4.49 INR per tonne‑km (up 5.7% versus its past average and 38.9% versus similar‑length peer routes) as Note N003 (2025‑12‑22) reports that nationwide diesel price increases this week pushed transportation costs up roughly 5‑7%."
